"No.","Time","Source","Destination","Protocol","Length","Info"
"14","0.102379","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=345, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"15","0.159242","df:a8:75:40:8e:70 (df:a8:75:40:8e:70) (TA)","57:ef:c5:ef:e2:9c (57:ef:c5:ef:e2:9c) (RA)","802.11","1365","Grant, Flags=....R.FTC"
"16","0.171249","64.233.166.125","192.168.1.122","TCP","138","5222  >  64738 [ACK] Seq=1 Ack=3 Win=269 Len=0 TSval=495605976 TSecr=423538737"
"17","0.172113","","Apple_37:5b:39 (f4:0f:24:37:5b:39) (RA)","802.11","39","Clear-to-send, Flags=........C"
"18","0.172180","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (TA)","Apple_37:5b:39 (f4:0f:24:37:5b:39) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"19","0.204806","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=346, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"20","0.248660","64.233.166.125","192.168.1.122","TCP","138","5222  >  64738 [ACK] Seq=1 Ack=4 Win=269 Len=0 TSval=495606054 TSecr=423538817"
"21","0.249145","64.233.166.125","192.168.1.122","TCP","138","[TCP Dup ACK 20#1] 5222  >  64738 [ACK] Seq=1 Ack=4 Win=269 Len=0 TSval=495606054 TSecr=423538817"
"22","0.307324","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=347, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"23","0.307474","TopwellI_0a:c3:43","ZioncomE_25:bb:14","802.11","53","Null function (No data), SN=401, FN=0, Flags=.......TC"
"24","0.307585","","TopwellI_0a:c3:43 (fc:6b:f0:0a:c3:43) (RA)","802.11","39","Acknowledgement, Flags=........C"
"25","0.307669","192.168.1.122","224.0.0.251","MDNS","155","Standard query 0x0000 PTR _sleep-proxy._udp.local, ""QM"" question"
"26","0.307741","","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (RA)","802.11","39","Acknowledgement, Flags=........C"
"27","0.307988","fe80::81a:dc1d:dd5c:2fdf","ff02::fb","MDNS","175","Standard query 0x0000 PTR _sleep-proxy._udp.local, ""QM"" question"
"28","0.308066","","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (RA)","802.11","39","Acknowledgement, Flags=........C"
"29","0.310141","MurataMa_bd:86:52","ZioncomE_25:bb:14","802.11","53","Null function (No data), SN=2186, FN=0, Flags=.......TC"
"30","0.310260","","MurataMa_bd:86:52 (d8:c4:6a:bd:86:52) (RA)","802.11","39","Acknowledgement, Flags=........C"
"31","0.311380","192.168.1.122","224.0.0.251","MDNS","132","Standard query 0x0000 PTR _sleep-proxy._udp.local, ""QM"" question"
"32","0.311472","","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (RA)","802.11","39","Acknowledgement, Flags=........C"
"33","0.312134","MurataMa_bd:86:52","ZioncomE_25:bb:14","802.11","53","Null function (No data), SN=2187, FN=0, Flags=...P...TC"
"34","0.312221","","MurataMa_bd:86:52 (d8:c4:6a:bd:86:52) (RA)","802.11","39","Acknowledgement, Flags=........C"
"35","0.313224","MurataMa_bd:86:52","ZioncomE_25:bb:14","802.11","53","Null function (No data), SN=2188, FN=0, Flags=.......TC"
"36","0.313310","","MurataMa_bd:86:52 (d8:c4:6a:bd:86:52) (RA)","802.11","39","Acknowledgement, Flags=........C"
"37","0.315244","fe80::81a:dc1d:dd5c:2fdf","ff02::fb","MDNS","152","Standard query 0x0000 PTR _sleep-proxy._udp.local, ""QM"" question"
"38","0.315335","","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (RA)","802.11","39","Acknowledgement, Flags=........C"
"39","0.339635","TopwellI_0a:c3:43","ZioncomE_25:bb:14","802.11","53","Null function (No data), SN=402, FN=0, Flags=...P...TC"
"40","0.339716","","TopwellI_0a:c3:43 (fc:6b:f0:0a:c3:43) (RA)","802.11","39","Acknowledgement, Flags=........C"
"41","0.409717","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=348, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"42","0.497807","192.168.1.105","224.0.0.251","MDNS","340","Standard query response 0x0000 PTR, cache flush Android-5.local PTR, cache flush Android-5.local A, cache flush 192.168.1.105 AAAA, cache flush fe80::4c58:dfda:987e:d466 NSEC, cache flush 105.1.168.192.in-addr.arpa NSEC, cache flush 6.6.4.D.E.7.8.9.A.D.F.D.8.5.C.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-5.local"
"43","0.497899","","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (RA)","802.11","39","Acknowledgement, Flags=........C"
"44","0.498594","192.168.1.105","224.0.0.251","MDNS","338","Standard query response 0x0000 PTR, cache flush Android-5.local PTR, cache flush Android-5.local A, cache flush 192.168.1.105 AAAA, cache flush fe80::4c58:dfda:987e:d466 NSEC, cache flush 105.1.168.192.in-addr.arpa NSEC, cache flush 6.6.4.D.E.7.8.9.A.D.F.D.8.5.C.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-5.local"
"45","0.498685","","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (RA)","802.11","39","Acknowledgement, Flags=........C"
"46","0.498735","192.168.1.105","224.0.0.251","MDNS","363","Standard query response 0x0000 PTR, cache flush Android-5.local PTR, cache flush Android-5.local A, cache flush 192.168.1.105 AAAA, cache flush fe80::4c58:dfda:987e:d466 NSEC, cache flush 105.1.168.192.in-addr.arpa NSEC, cache flush 6.6.4.D.E.7.8.9.A.D.F.D.8.5.C.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-5.local"
"47","0.502768","fe80::4c58:dfda:987e:d466","ff02::fb","MDNS","358","Standard query response 0x0000 PTR, cache flush Android-5.local PTR, cache flush Android-5.local A, cache flush 192.168.1.105 AAAA, cache flush fe80::4c58:dfda:987e:d466 NSEC, cache flush 105.1.168.192.in-addr.arpa NSEC, cache flush 6.6.4.D.E.7.8.9.A.D.F.D.8.5.C.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-5.local"
"48","0.502857","","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (RA)","802.11","39","Acknowledgement, Flags=........C"
"49","0.502907","fe80::4c58:dfda:987e:d466","ff02::fb","MDNS","383","Standard query response 0x0000 PTR, cache flush Android-5.local PTR, cache flush Android-5.local A, cache flush 192.168.1.105 AAAA, cache flush fe80::4c58:dfda:987e:d466 NSEC, cache flush 105.1.168.192.in-addr.arpa NSEC, cache flush 6.6.4.D.E.7.8.9.A.D.F.D.8.5.C.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-5.local"
"50","0.503838","fe80::4c58:dfda:987e:d466","ff02::fb","MDNS","360","Standard query response 0x0000 PTR, cache flush Android-5.local PTR, cache flush Android-5.local A, cache flush 192.168.1.105 AAAA, cache flush fe80::4c58:dfda:987e:d466 NSEC, cache flush 105.1.168.192.in-addr.arpa NSEC, cache flush 6.6.4.D.E.7.8.9.A.D.F.D.8.5.C.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-5.local"
"51","0.503930","","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (RA)","802.11","39","Acknowledgement, Flags=........C"
"52","0.504446","","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (RA)","802.11","39","Acknowledgement, Flags=........C"
"53","0.512050","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=350, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"54","0.596438","Cisco-Li_a1:f7:0f","ZioncomE_25:bb:14","802.11","53","Null function (No data), SN=181, FN=0, Flags=.......TC"
"55","0.596557","","Cisco-Li_a1:f7:0f (98:fc:11:a1:f7:0f) (RA)","802.11","39","Acknowledgement, Flags=........C"
"56","0.614531","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=352, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"57","0.681109","66:e3:1c:e8:37:5c (66:e3:1c:e8:37:5c) (TA)","f7:80:d9:cf:63:c8 (f7:80:d9:cf:63:c8) (RA)","802.11","1637","Beamforming Report Poll, Flags=op.P.MF.C"
"58","0.709717","","Apple_37:5b:39 (f4:0f:24:37:5b:39) (RA)","802.11","39","Acknowledgement, Flags=........C"
"59","0.710547","MurataMa_bd:86:52","ZioncomE_25:bb:14","802.11","53","Null function (No data), SN=2189, FN=0, Flags=...P...TC"
"60","0.710635","","MurataMa_bd:86:52 (d8:c4:6a:bd:86:52) (RA)","802.11","39","Acknowledgement, Flags=........C"
"61","0.716941","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=353, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"62","0.819373","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=354, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"63","0.921526","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=355, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"64","1.023976","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=356, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"65","1.126561","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=357, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"66","1.228862","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=358, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"67","1.290114","f2:8d:da:03:05:70","f6:b4:56:f7:d8:56","802.11","597","CF-Poll (No data), SN=140, FN=12, Flags=.pm...F.C"
"68","1.331326","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=359, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"69","1.331394","TopwellI_0a:c3:43","ZioncomE_25:bb:14","802.11","53","Null function (No data), SN=403, FN=0, Flags=.......TC"
"70","1.331467","","TopwellI_0a:c3:43 (fc:6b:f0:0a:c3:43) (RA)","802.11","39","Acknowledgement, Flags=........C"
"71","1.334451","SamsungE_d1:47:f1","fc:cc:87:3b:7c:50","CLNP","383","Length indicator is zero"
"72","1.334519","","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (RA)","802.11","39","Acknowledgement, Flags=........C"
"73","1.363469","TopwellI_0a:c3:43","ZioncomE_25:bb:14","802.11","53","Null function (No data), SN=404, FN=0, Flags=...P...TC"
"74","1.363556","","TopwellI_0a:c3:43 (fc:6b:f0:0a:c3:43) (RA)","802.11","39","Acknowledgement, Flags=........C"
"75","1.433684","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=360, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"76","1.536131","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=361, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"77","1.638498","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=362, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"78","1.740880","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=363, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"79","1.843245","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=364, FN=0, Flags=........C, BI=100, SSID=DVD-1[Malformed Packet]"
"80","1.945696","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=365, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"81","2.048090","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=366, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"82","2.150463","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=367, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"83","2.204559","8e:0b:fa:ae:23:61","07:0e:08:4c:5e:46","802.11","1115","Data + CF-Ack, SN=2457, FN=8, Flags=opm.RMFTC"
"84","2.252856","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=368, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"85","2.355263","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=369, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"86","2.457538","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=370, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"87","2.534740","ProwareT_4f:70:0b","ZioncomE_25:bb:14","802.11","53","Null function (No data), SN=2141, FN=0, Flags=.......TC"
"88","2.535343","ProwareT_4f:70:0b","ZioncomE_25:bb:14","802.11","53","Null function (No data), SN=2141, FN=0, Flags=....R..TC"
"89","2.535418","","ProwareT_4f:70:0b (6c:fd:b9:4f:70:0b) (RA)","802.11","39","Acknowledgement, Flags=........C"
"90","2.560057","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=371, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"91","2.662486","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=372, FN=0, Flags=........C, BI=100, SSID=DVD-1[Malformed Packet]"
"92","2.741594","7f:8a:7b:ec:3e:a2","8c:7e:3c:42:3c:3e","802.11","453","ATIM, SN=873, FN=5, Flags=o..P...TC"
"93","2.764877","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=373, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"94","2.867246","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=374, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"95","2.969518","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=375, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"96","3.072054","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=376, FN=0, Flags=........C, BI=100, SSID=DVD-1[Malformed Packet]"
"97","3.160598","192.168.1.151","213.57.2.5","DNS","127","Standard query 0x7bfe A https://dyndnss.net/"
"98","3.160666","","ProwareT_4f:70:0b (6c:fd:b9:4f:70:0b) (RA)","802.11","39","Acknowledgement, Flags=........C"
"99","3.174427","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=377, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"100","3.175210","213.57.2.5","192.168.1.151","DNS","202","Standard query response 0x7bfe No such name A https://dyndnss.net/ SOA a.root-servers.net"
"101","3.175302","","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (RA)","802.11","39","Acknowledgement, Flags=........C"
"102","3.179447","192.168.1.151","192.168.1.1","DNS","127","Standard query 0x7bff A https://dyndnss.net/"
"103","3.179538","","ProwareT_4f:70:0b (6c:fd:b9:4f:70:0b) (RA)","802.11","39","Acknowledgement, Flags=........C"
"104","3.195424","192.168.1.1","192.168.1.151","DNS","202","Standard query response 0x7bff No such name A https://dyndnss.net/ SOA a.root-servers.net"
"105","3.195515","","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (RA)","802.11","39","Acknowledgement, Flags=........C"
"106","3.199473","192.168.1.151","213.57.2.5","DNS","127","Standard query 0x7c00 A https://dyndnss.net/"
"107","3.199540","","ProwareT_4f:70:0b (6c:fd:b9:4f:70:0b) (RA)","802.11","39","Acknowledgement, Flags=........C"
"108","3.211994","213.57.2.5","192.168.1.151","DNS","202","Standard query response 0x7c00 No such name A https://dyndnss.net/ SOA a.root-servers.net"
"109","3.212077","213.57.2.5","192.168.1.151","DNS","202","Standard query response 0x7c00 No such name A https://dyndnss.net/ SOA a.root-servers.net"
"110","3.212126","","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (RA)","802.11","39","Acknowledgement, Flags=........C"
"111","3.216450","192.168.1.151","192.168.1.1","DNS","127","Standard query 0x7c01 A https://dyndnss.net/"
"112","3.216541","","ProwareT_4f:70:0b (6c:fd:b9:4f:70:0b) (RA)","802.11","39","Acknowledgement, Flags=........C"
"113","3.230167","192.168.1.1","192.168.1.151","DNS","202","Standard query response 0x7c01 No such name A https://dyndnss.net/ SOA a.root-servers.net"
"114","3.230258","","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (RA)","802.11","39","Acknowledgement, Flags=........C"
"115","3.233995","192.168.1.151","213.57.2.5","DNS","127","Standard query 0x7c02 A https://dyndnss.net/"
"116","3.234086","","ProwareT_4f:70:0b (6c:fd:b9:4f:70:0b) (RA)","802.11","39","Acknowledgement, Flags=........C"
"117","3.247384","213.57.2.5","192.168.1.151","DNS","202","Standard query response 0x7c02 No such name A https://dyndnss.net/ SOA a.root-servers.net"
"118","3.247476","","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (RA)","802.11","39","Acknowledgement, Flags=........C"
"119","3.251424","192.168.1.151","192.168.1.1","DNS","127","Standard query 0x7c03 A \\270{tps://dyndnss.net/"
"120","3.251491","192.168.1.151","192.168.1.1","DNS","127","Standard query 0x7c03 A https://dyndnss.net/"
"121","3.251822","192.168.1.151","192.168.1.1","DNS","127","Standard query 0x7c03 A https://dyndnss.net/"
"122","3.251893","","ProwareT_4f:70:0b (6c:fd:b9:4f:70:0b) (RA)","802.11","39","Acknowledgement, Flags=........C"
"123","3.277166","ZioncomE_25:bb:14","Broadcast","802.11","334","Beacon frame, SN=383, FN=0, Flags=........C, BI=100, SSID=DVD-1"
"124","3.277271","192.168.1.1","192.168.1.151","DNS","202","Standard query response 0x7c03 No such name A https://dyndnss.net/ SOA a.root-servers.net"
"125","3.277342","","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (RA)","802.11","39","Acknowledgement, Flags=........C"
"126","3.282452","192.168.1.151","213.57.2.5","DNS","127","Standard query 0x7c04 A https://dyndnss.net/[Malformed Packet]"
"127","3.282520","","ProwareT_4f:70:0b (6c:fd:b9:4f:70:0b) (RA)","802.11","39","Acknowledgement, Flags=........C"
"128","3.283649","MurataMa_bd:86:52","ZioncomE_25:bb:14","802.11","53","Null function (No data), SN=2190, FN=0, Flags=.......TC"
"129","3.283731","MurataMa_bd:86:52","ZioncomE_25:bb:14","802.11","53","Null function (No data), SN=2190, FN=0, Flags=....R..TC"
"130","3.283779","MurataMa_bd:86:52","ZioncomE_25:bb:14","802.11","53","Null function (No data), SN=2190, FN=0, Flags=....R..TC"
"131","3.283827","MurataMa_bd:86:52 (d8:c4:6a:bd:86:52) (TA)","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (RA)","802.11","45","Request-to-send, Flags=........C"
"132","3.284437","MurataMa_bd:86:52","ZioncomE_25:bb:14","802.11","53","Null function (No data), SN=2190, FN=0, Flags=....R..TC"
"133","3.284524","","MurataMa_bd:86:52 (d8:c4:6a:bd:86:52) (RA)","802.11","39","Acknowledgement, Flags=........C"
"134","3.284606","MurataMa_bd:86:52 (d8:c4:6a:bd:86:52) (TA)","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (RA)","802.11","45","Request-to-send, Flags=........C"
"135","3.286398","MurataMa_bd:86:52 (d8:c4:6a:bd:86:52) (TA)","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (RA)","802.11","45","Request-to-send, Flags=........C"
"136","3.287712","MurataMa_bd:86:52 (d8:c4:6a:bd:86:52) (TA)","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (RA)","802.11","45","Request-to-send, Flags=........C"
"137","3.287785","","MurataMa_bd:86:52 (d8:c4:6a:bd:86:52) (RA)","802.11","39","Clear-to-send, Flags=........C"
"138","3.287832","192.168.1.112","213.57.2.5","DNS","142","Standard query 0xd342 A www.google.com"
"139","3.287909","192.168.1.112","213.57.22.5","DNS","146","Standard query 0xea2a A www.google.com"
"140","3.287959","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (TA)","MurataMa_bd:86:52 (d8:c4:6a:bd:86:52) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"141","3.294627","213.57.2.5","192.168.1.151","DNS","202","Standard query response 0x7c04 No such name A https://dyndnss.net/ SOA a.root-servers.net"
"142","3.294719","","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (RA)","802.11","39","Acknowledgement, Flags=........C"
"143","3.299450","ae:01:97:14:93:7c","8d:d0:81:f7:cd:bc","802.11","127","Data, SN=3762, FN=0, Flags=.p.....TC"
"144","3.299500","","ProwareT_4f:70:0b (6c:fd:b9:4f:70:0b) (RA)","802.11","39","Acknowledgement, Flags=........C"
"145","3.301728","64:71:32:99:bc:7f","41:aa:d6:3f:24:c5","802.11","410","QoS Null function (No data), SN=4059, FN=10, Flags=o...RMFTC"
"146","3.302180","","","802.11","410","Fragmented IEEE 802.11 frame"
"147","3.302261","","","802.11","410","Unrecognized (Reserved frame), Flags=.p..RM.TC"
"148","3.303209","","","802.11","410","Unrecognized (Reserved frame), Flags=.p....F.C"
"149","3.303805","bf:c7:5c:db:03:f6","3f:49:c9:cc:1e:7b","802.11","410","Action, SN=980, FN=13, Flags=.pm.R..TC"
"150","3.303872","3c:6c:02:c3:b3:e9 (3c:6c:02:c3:b3:e9) (TA)","55:fd:28:d6:22:b0 (55:fd:28:d6:22:b0) (RA)","802.11","410","Trigger Reserved, Flags=...PR.FT"
"151","3.304807","213.57.2.5","192.168.1.112","DNS","410","Standard query response 0xd342 A www.google.com A 172.217.21.196 NS ns4.google.com NS ns2.google.com NS ns3.google.com NS ns1.google.com A 216.239.38.10 AAAA 2001:4860:4802:38::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.34.10 AAAA 2001:4860:4802:34::a"
"152","3.304898","213.57.2.5","192.168.1.112","DNS","410","Standard query response 0xd342 A www.google.com A 172.217.21.196 NS ns4.google.com NS ns2.google.com NS ns3.google.com NS ns1.google.com A 216.239.38.10 AAAA 2001:4860:4802:38::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.34.10 AAAA 2001:4860:4802:34::a"
"153","3.308169","97:90:9e:e6:57:80 (97:90:9e:e6:57:80) (TA)","7f:96:c9:0c:9e:f8 (7f:96:c9:0c:9e:f8) (RA)","802.11","410","Beamforming Report Poll, Flags=...P.M..C"
"154","3.308236","81:40:c9:c7:8b:33","49:6a:ee:37:33:d4","802.11","410","Association Response, SN=1125, FN=9, Flags=op.P.M.TC"
"155","3.308847","","69:27:65:4a:fe:9e (69:27:65:4a:fe:9e) (RA)","802.11","410","Unrecognized (Reserved frame), Flags=o...RMFTC"
"156","3.309383","","","802.11","410","Unrecognized (Reserved frame), Flags=op.PR.FTC"
"157","3.309452","a7:fe:14:f7:cd:bc","d8:23:a2:af:ac:b4","LLC","410","U, func=UI; SNAP, OUI 0x000000 (Officially Xerox, but 0:0:0:0:0:0 is more common), PID 0x78A4"
"158","3.310245","213.57.22.5","192.168.1.112","DNS","410","Standard query response 0xea2a A www.google.com A 216.58.207.68 NS ns1.google.com NS ns4.google.com NS ns3.google.com NS ns2.google.com A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"159","3.311419","213.57.22.5","192.168.1.112","DNS","410","Standard query response 0xea2a A www.google.com A 216.58.207.68 NS ns1.google.com NS ns4.google.com NS ns3.google.com NS ns2.google.com A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"160","3.320772","192.168.1.1","192.168.1.151","DNS","202","Standard query response 0x7c05 No such name A https://dyndnss.net/ SOA a.root-servers.net"
"161","3.320864","","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (RA)","802.11","39","Acknowledgement, Flags=........C"
"162","3.325272","ProwareT_4f:70:0b","Cisco-Li_f7:cd:bc","LLC","127","U, func=UI; SNAP, OUI 0x34B286 (Unknown), PID 0x0900"
"163","3.325343","","ProwareT_4f:70:0b (6c:fd:b9:4f:70:0b) (RA)","802.11","39","Acknowledgement, Flags=........C"
"164","3.338213","213.57.2.5","192.168.1.151","DNS","202","Standard query response 0x7c06 No such name A https://dyndnss.net/ SOA a.root-servers.net"
"165","3.338304","","ZioncomE_25:bb:14 (b8:55:10:25:bb:14) (RA)","802.11","39","Acknowledgement, Flags=........C"
"166","3.341459","192.168.1.151","192.168.1.1","DNS","127","Standard query 0x7107 A https://dyndnss.net/"
"167","3.341526","","ProwareT_4f:70:0b (6c:fd:b9:4f:70:0b) (RA)","802.11","39","Acknowledgement, Flags=........C"
"168","3.345681","MurataMa_bd:86:52","ZioncomE_25:bb:14","802.11","53","Null function (No data), SN=2191, FN=0, Flags=...P...TC"
"169","3.346284","MurataMa_bd:86:52","ZioncomE_25:bb:14","802.11","53","Null function (No data), SN=2191, FN=0, Flags=...PR..TC"
"170","3.346371","","MurataMa_bd:86:52 (d8:c4:6a:bd:86:52) (RA)","802.11","39","Acknowledgement, Flags=........C"
"171","3.350239","MurataMa_bd:86:52","ZioncomE_25:bb:14","802.11","53","Null function (No data), SN=2192, FN=0, Flags=.......TC"
"172","3.350314","MurataMa_bd:86:52","ZioncomE_25:bb:14","802.11","53","Null function (No data), SN=2192, FN=0, Flags=....R..TC"
"173","3.350361","","MurataMa_bd:86:52 (d8:c4:6a:bd:86:52) (RA)","802.11","39","Acknowledgement, Flags=........C"
